"","t","k"
"6333",1584,16
"6337",1585,16
"6341",1586,16
"6345",1587,16
"6349",1588,16
"6353",1589,16
"6357",1590,16
"6361",1591,16
"6365",1592,16
"6369",1593,16
"6373",1594,16
"6377",1595,16
"6381",1596,16
"6385",1597,16
"6389",1598,16
"6393",1599,16
"6397",1600,16
"6401",1601,16
"6405",1602,16
"6409",1603,16
"6413",1604,16
"6417",1605,16
"6421",1606,16
"6425",1607,16
"6429",1608,16
"6433",1609,16
"6437",1610,16
"6441",1611,16
"6445",1612,16
"6449",1613,16
"6453",1614,16
"6457",1615,16
"6461",1616,16
"6465",1617,16
"6469",1618,16
"6473",1619,16
"6477",1620,16
"6481",1621,16
"6485",1622,16
"6489",1623,16
"6493",1624,16
"6497",1625,16
"6501",1626,16
"6505",1627,16
"6509",1628,16
"6513",1629,16
"6517",1630,16
"6521",1631,16
"6525",1632,16
"6529",1633,16
"6533",1634,16
"6537",1635,16
"6541",1636,16
"6545",1637,16
"6549",1638,16
"6553",1639,16
"6557",1640,16
"6561",1641,16
"6565",1642,16
"6569",1643,16
"6573",1644,16
"6577",1645,17
"6581",1646,17
"6585",1647,17
"6589",1648,17
"6593",1649,17
"6597",1650,17
"6601",1651,17
"6605",1652,17
"6609",1653,17
"6613",1654,17
"6617",1655,17
"6621",1656,17
"6625",1657,17
"6629",1658,17
"6633",1659,17
"6637",1660,17
"6641",1661,17
"6645",1662,17
"6649",1663,17
"6653",1664,17
"6657",1665,17
"6661",1666,17
"6665",1667,17
"6669",1668,17
"6673",1669,17
"6677",1670,17
"6681",1671,17
"6685",1672,17
"6689",1673,17
"6693",1674,17
"6697",1675,17
"6701",1676,17
"6705",1677,17
"6709",1678,17
"6713",1679,17
"6717",1680,17
"6721",1681,17
"6725",1682,17
"6729",1683,17
"6733",1684,17
"6737",1685,17
"6741",1686,17
"6745",1687,17
"6749",1688,17
"6753",1689,17
"6757",1690,17
